Company,Last Price,%chg,Traded Val,Volume
HCL INFOSYSTEMS,58.00,+0.61%,41.89cr,71.57lk
CG POWER & INDU,92.85,+0.32%,40.59cr,43.62lk
UNITED BREWERIES,1082.25,+0.57%,40.29cr,3.71lk
BHUSHAN STEEL,70.00,+7.12%,40.24cr,58.43lk
THE FEDERAL BANK,108.80,-0.32%,39.74cr,36.38lk
NMDC LTD.,137.90,-0.22%,39.04cr,28.20lk
HINDUSTAN ZINC,309.00,-0.63%,38.82cr,12.50lk
SWAN ENERGY,190.45,-0.16%,38.62cr,20.00lk
HOUSING & URBAN DEVELOPMENT CORPORA,82.70,0.00%,36.80cr,44.34lk
MAX FIN. SER.,591.15,-1.48%,36.80cr,6.21lk
PTC INDIA,118.80,+2.86%,36.40cr,30.89lk
FIRSTSOURCE SOLUTION,40.80,+0.87%,35.68cr,86.20lk
THE RAMCO CEMENTS,785.80,-1.08%,34.96cr,4.37lk
CAN FIN HOMES,473.45,-0.61%,34.94cr,7.38lk
MINDTREE,610.10,-0.55%,34.92cr,5.72lk
DISH TV INDIA,82.00,+0.55%,34.92cr,42.46lk
IRB INFRASTRUCTURE,238.00,+2.01%,33.62cr,14.19lk
ENGINEERS INDIA,199.60,+0.28%,33.58cr,16.89lk
PARAG MILK FOODS,297.20,+2.64%,33.48cr,11.27lk
BANK OF INDIA,169.70,-0.24%,32.74cr,19.21lk
BALRAMPUR CHINI,132.35,+0.84%,32.71cr,24.60lk
SADBHAV ENGINEERING,425.90,+1.50%,32.56cr,7.58lk
CUMMINS INDIA,902.80,-1.06%,32.45cr,3.57lk
PAGE INDUSTRIES,25450.00,+1.03%,32.43cr,12.77k
FUTURE CONSUMER,75.15,-1.12%,32.05cr,42.47lk
BALLARPUR IND.,18.02,+7.20%,31.98cr,1.80cr
KANSAI NEROLAC PAINT,573.05,+3.36%,31.05cr,5.47lk
KAVERI SEED COMPANY,549.00,+0.08%,31.01cr,5.70lk
DABUR INDIA,349.80,+1.07%,30.85cr,8.84lk
EXIDE INDUSTRIES,222.85,+1.90%,30.56cr,13.74lk
BOSCH,20103.05,+0.19%,30.34cr,15.07k
PVR LTD.,1417.95,+0.70%,29.87cr,2.11lk
GUJARAT ALKALIES,744.05,+3.51%,29.56cr,4.05lk
AMARA RAJA BATTERIES,842.10,-0.48%,29.26cr,3.47lk
SUN PHARMA ADVANCED,506.90,-1.10%,29.17cr,5.71lk
