SHOPPERS STOP,549.4,-7.9,(-1.42%),559.85,548.3
KAVERI SEED COMPANY,558.55,-10.15,(-1.78%),573.3,555.25
DCM SHRIRAM,565,-12.7,(-2.20%),577.2,556.95
SUNDRAM FASTENERS,574.8,-10.15,(-1.74%),593.45,574.15
GODREJ INDUSTRIES,601,-7.75,(-1.27%),608.5,600.35
SOBHA,607.15,-6.85,(-1.12%),619.75,601.45
RELAXO FOOTWEARS,672.1,-10.5,(-1.54%),684,665.85
PERSISTENT SYSTEMS,680,-13.85,(-2.00%),705.8,678.05
GODREJ PROPERTIES,692.5,-8.8,(-1.25%),709.9,692.5
CAPITAL FIRST,701.9,-5.35,(-0.76%),710,696.45
KAJARIA CERAMICS,719,-6.45,(-0.89%),725.15,716.8
BHARAT FORGE,719.25,-8.9,(-1.22%),733.05,710.05
ESCORTS,746.85,-8.75,(-1.16%),756.8,741.35
THE RAMCO CEMENTS,789.2,-5.95,(-0.75%),805,781.5
JET AIRWAYS (INDIA),808.65,-14.75,(-1.79%),831.2,801.3
HERITAGE FOODS,820,-6.4,(-0.77%),836,816.9
NAVIN FLUORINE INTL,825.7,-42.85,(-4.93%),870.5,824
IGARASHI MOTORS,879,-18.45,(-2.06%),896.85,872.6
SML ISUZU,902,-13,(-1.42%),932.25,900
PIDILITE INDUSTRIES,915.95,-10.15,(-1.10%),929.95,906
CUMMINS INDIA,918.1,-10.85,(-1.17%),937.25,911.15
TATA ELXSI,952.85,-7.25,(-0.76%),970,945.85
BHARAT FINANCIAL INCLUSION,992.05,-12.05,(-1.20%),1008.7,990.15
DILIP BUILDCON,1007.15,-23.95,(-2.32%),1059,995.05
RAYMOND,1038.2,-15.9,(-1.51%),1059.75,1025
CESC LTD.,1046.2,-9.8,(-0.93%),1075,1045
AARTI INDUSTRIES,1074.2,-45.35,(-4.05%),1120,1063
BIRLA CORPORATION,1131,-12.1,(-1.06%),1155.1,1130
BALKRISHNA IND.,1163.85,-26.35,(-2.21%),1195.05,1158.1
SOLAR INDUSTRIES,1183.05,-10.75,(-0.90%),1200,1180.55
THERMAX,1218.55,-9.8,(-0.80%),1238.85,1202.7
SIEMENS,1226.1,-12.85,(-1.04%),1243.5,1225.4
L&T,1258.6,-11,(-0.87%),1275,1252.4
CHOLAMANDALAM INVEST,1280.05,-13.7,(-1.06%),1295,1278.9
MERCK,1299.95,-15.85,(-1.20%),1343.8,1290
PNB HOUSING FINANCE,1325.3,-13.15,(-0.98%),1336.15,1323
CONTAINER CORP,1365,-27.7,(-1.99%),1418.05,1355.05
CENTURY TEXTILES,1421.05,-13.15,(-0.92%),1443.05,1421
SHRIRAM TRANSPORT,1448.05,-13.3,(-0.91%),1471.45,1442.1
MOTILAL OSWAL,1485,-14.25,(-0.95%),1522.8,1485
WHIRLPOOL OF INDIA,1512,-15.1,(-0.99%),1532,1501.05
BEML LTD.,1590.7,-15.8,(-0.98%),1628,1572.95
BOMBAY BURMAH,1624,-26.15,(-1.58%),1672,1608
SYMPHONY,1702.55,-48.7,(-2.78%),1750,1701.5
SHEELA FOAM,1717,-61.6,(-3.46%),1773.9,1717
JUBILANT FOODWORKS,1724.6,-56.4,(-3.17%),1784.55,1714
BAJAJ FINANCE,1770,-15.1,(-0.85%),1796.05,1761.45
SKF INDIA,1830.4,-12.65,(-0.69%),1860,1825.75
CEAT LTD.,1946,-57.35,(-2.86%),2030,1925.85
APL APOLLO TUBES,1990,-17.75,(-0.88%),2005,1961.5
PFIZER,2031.2,-22.25,(-1.08%),2050,1999
ALKEM LABORATORIES,2158.8,-24.6,(-1.13%),2230,2158.8
BASF INDIA,2185.6,-58.65,(-2.61%),2241.85,2171.2
AVANTI FEEDS,2510.05,-23.85,(-0.94%),2550,2510
JOHNSON CONTROLS,2525.1,-110.05,(-4.18%),2640,2466
TCS,2621.05,-21.75,(-0.82%),2657.95,2611.05
PIRAMAL ENTERPRISES,2866.1,-23.85,(-0.83%),2912.25,2851.4
BAJAJ HOLDINGS,2925,-44.2,(-1.49%),3035.75,2925
DALMIA BHARAT,3198.55,-30.05,(-0.93%),3250,3190.45
BAJAJ AUTO,3335.45,-27.45,(-0.82%),3379.55,3321.65
ULTRATECH CEM,4278,-44.4,(-1.03%),4341,4223
BAJAJ FINSERV,5319.85,-83.6,(-1.55%),5411,5287.7
LAKSHMI MACHINE WORK,5876,-53.5,(-0.90%),5974,5876
GILLETTE INDIA,6718.1,-114.25,(-1.67%),6815.25,6710
WABCO INDIA,7014.95,-109.2,(-1.53%),7220,6965
BOSCH,20015,-248.95,(-1.23%),20300,20000
MRF LTD.,72958.7,-1058.65,(-1.43%),74305.95,72503.35
Company,Last Price,chg,%chg,Day High,Day Low
