Company,Last Price,chg,%chg,Day High,Day Low
EICHER MOTORS,30121.00,-126.85,(-0.42%),30462.85,29977.05
TTK PRESTIGE,7931.15,-33.20,(-0.42%),8000.50,7904.00
HEXAWARE TECH,335.35,-1.35,(-0.40%),338.50,331.45
JB CHEM. & PHARMA,320.75,-1.30,(-0.40%),324.70,319.60
INDIAN OIL CORP.,408.55,-1.65,(-0.40%),414.75,405.20
INFOSYS,1034.35,-4.05,(-0.39%),1040.00,1023.10
COLGATE-PALMOLIVE,1087.00,-4.30,(-0.39%),1098.00,1079.65
SUPREME PETROCHEM,379.95,-1.45,(-0.38%),387.55,377.05
VOLTAS,654.15,-2.35,(-0.36%),667.00,649.65
TATA CHEMICALS,732.50,-2.65,(-0.36%),738.55,730.00
BLUE DART EXPRESS,4557.55,-16.25,(-0.36%),4686.00,4515.20
RAJESH EXPORTS,807.90,-2.85,(-0.35%),811.95,805.50
M&M FINANCIAL,472.90,-1.65,(-0.35%),481.00,470.25
BAJAJ FINSERV,5403.45,-18.40,(-0.34%),5425.00,5360.05
SRF LTD.,1948.25,-6.55,(-0.34%),1967.85,1928.30
INGERSOLL-RAND,804.25,-2.60,(-0.32%),812.80,801.00
UJJIVAN FINANCIAL,385.05,-1.25,(-0.32%),389.20,384.40
MOTHERSON SUMI,375.00,-1.15,(-0.31%),377.90,374.00
CHOLAMANDALAM INVEST,1289.00,-4.05,(-0.31%),1306.20,1283.20
TATA INVST. CORP.,853.70,-2.60,(-0.30%),862.00,845.00
MARUTI SUZUKI,9670.85,-29.40,(-0.30%),9800.00,9630.90
UNITED BANK OF INDIA,17.45,-0.05,(-0.29%),17.65,17.35
NATCO PHARMA,985.00,-2.75,(-0.28%),987.75,970.00
ADANI ENTERPRISES,162.40,-0.45,(-0.28%),164.95,161.00
NAVA BHARAT VENTURES,149.20,-0.40,(-0.27%),151.50,148.60
VRL LOGISTICS,438.15,-1.20,(-0.27%),450.00,436.55
INOX WIND,145.90,-0.40,(-0.27%),149.40,145.05
HUL,1347.95,-3.70,(-0.27%),1358.00,1340.00
PTC INDIA,117.05,-0.30,(-0.26%),118.00,116.50
HINDUSTAN ZINC,306.45,-0.80,(-0.26%),310.50,305.00
SREI INFRA. FINANCE,100.80,-0.25,(-0.25%),101.90,100.50
COX & KINGS (INDIA),262.45,-0.65,(-0.25%),267.40,261.70
CARE,1335.90,-3.35,(-0.25%),1372.20,1321.00
RALLIS INDIA,257.65,-0.60,(-0.23%),261.00,255.00
TIMKEN INDIA,890.00,-2.05,(-0.23%),894.15,883.00
GHCL LTD.,310.65,-0.70,(-0.22%),314.90,309.00
BRITANNIA IND.,4734.20,-10.65,(-0.22%),4770.00,4725.00
APAR INDUSTRIES,808.65,-1.80,(-0.22%),814.00,804.35
ARVIND,453.15,-0.95,(-0.21%),457.30,447.95
TAKE SOLUTIONS,166.35,-0.35,(-0.21%),169.90,164.10
SHIPPING CORPORATION,93.65,-0.20,(-0.21%),95.85,93.50
ADVANCED ENZYME,281.90,-0.60,(-0.21%),285.40,279.95
AVENUE SUPERMARTS,1150.30,-2.40,(-0.21%),1158.55,1145.10
GLAXOSMITHKLINE CONS,6470.00,-12.65,(-0.20%),6500.00,6440.85
EVEREADY IND.,438.80,-0.90,(-0.20%),443.20,435.00
BEML LTD.,1600.00,-3.20,(-0.20%),1624.75,1600.00
SH KELKAR & CO,275.00,-0.55,(-0.20%),280.00,274.00
UNION BANK OF INDIA,148.00,-0.25,(-0.17%),150.10,146.85
DABUR INDIA,353.15,-0.60,(-0.17%),355.85,352.10
